incident_id,incident_text,severity,system,location
INC-C0000,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the night shift and observed for 20 minutes.,critical,payment gateway,primary datacenter
INC-C0001,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the morning shift and observed for 5 minutes.,critical,core banking API,production cluster
INC-C0002,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the payments team during the morning shift and observed for 5 minutes.,critical,ATM network,national backbone
INC-C0003,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the morning shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0004,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the operations team during the weekend shift and observed for 45 minutes.,critical,ATM network,national backbone
INC-C0005,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the operations team during the weekend shift and observed for 45 minutes.,critical,payment gateway,primary datacenter
INC-C0006,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the operations team during the afternoon shift and observed for 45 minutes.,critical,risk engine,main region
INC-C0007,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the weekend shift and observed for 5 minutes.,critical,payment gateway,primary datacenter
INC-C0008,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the security team during the night shift and observed for 5 minutes.,critical,risk engine,main region
INC-C0009,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the digital channels team during the morning shift and observed for over an hour.,critical,ATM network,national backbone
INC-C0010,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the digital channels team during the night shift and observed for 45 minutes.,critical,payment gateway,primary datacenter
INC-C0011,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the compliance team during the morning shift and observed for 5 minutes.,critical,core banking API,production cluster
INC-C0012,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the security team during the morning shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0013,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the network team during the night shift and observed for over an hour.,critical,payment gateway,primary datacenter
INC-C0014,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the operations team during the night shift and observed for 45 minutes.,critical,risk engine,main region
INC-C0015,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the compliance team during the night shift and observed for 5 minutes.,critical,core banking API,production cluster
INC-C0016,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the digital channels team during the afternoon shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0017,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the network team during the night shift and observed for 20 minutes.,critical,ATM network,national backbone
INC-C0018,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the payments team during the afternoon shift and observed for 5 minutes.,critical,risk engine,main region
INC-C0019,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the network team during the night shift and observed for 5 minutes.,critical,risk engine,main region
INC-C0020,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the digital channels team during the night shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0021,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the network team during the weekend shift and observed for 20 minutes.,critical,ATM network,national backbone
INC-C0022,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the operations team during the afternoon shift and observed for 45 minutes.,critical,risk engine,main region
INC-C0023,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the digital channels team during the weekend shift and observed for 45 minutes.,critical,ATM network,national backbone
INC-C0024,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the weekend shift and observed for 5 minutes.,critical,core banking API,production cluster
INC-C0025,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the afternoon shift and observed for 20 minutes.,critical,payment gateway,primary datacenter
INC-C0026,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the digital channels team during the morning shift and observed for over an hour.,critical,ATM network,national backbone
INC-C0027,Incident report: the ATM network in the national backbone shows communication lost. Impact: cash withdrawal service unavailable nationwide. Additional note: all channels impacted. Reported by the digital channels team during the weekend shift and observed for 45 minutes.,critical,ATM network,national backbone
INC-C0028,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the compliance team during the morning shift and observed for 45 minutes.,critical,payment gateway,primary datacenter
INC-C0029,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the payments team during the night shift and observed for over an hour.,critical,risk engine,main region
INC-C0030,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the network team during the morning shift and observed for 45 minutes.,critical,core banking API,production cluster
INC-C0031,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the digital channels team during the morning shift and observed for 45 minutes.,critical,core banking API,production cluster
INC-C0032,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the night shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0033,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the digital channels team during the night shift and observed for over an hour.,critical,payment gateway,primary datacenter
INC-C0034,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the night shift and observed for 45 minutes.,critical,payment gateway,primary datacenter
INC-C0035,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the payments team during the afternoon shift and observed for 5 minutes.,critical,core banking API,production cluster
INC-C0036,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the compliance team during the weekend shift and observed for 5 minutes.,critical,payment gateway,primary datacenter
INC-C0037,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the weekend shift and observed for 20 minutes.,critical,core banking API,production cluster
INC-C0038,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the digital channels team during the weekend shift and observed for 20 minutes.,critical,risk engine,main region
INC-C0039,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the compliance team during the night shift and observed for over an hour.,critical,core banking API,production cluster
INC-C0040,Incident report: the risk engine in the main region shows pipeline stopped. Impact: fraud screening is unavailable. Additional note: critical financial exposure. Reported by the network team during the weekend shift and observed for 5 minutes.,critical,risk engine,main region
INC-C0041,Incident report: the core banking API in the production cluster shows timeouts above 90 percent. Impact: branch operations cannot authenticate. Additional note: regulatory SLA breached. Reported by the operations team during the morning shift and observed for 45 minutes.,critical,core banking API,production cluster
INC-C0042,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the digital channels team during the afternoon shift and observed for 20 minutes.,critical,payment gateway,primary datacenter
INC-C0043,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the morning shift and observed for 20 minutes.,critical,payment gateway,primary datacenter
INC-C0044,Incident report: the payment gateway in the primary datacenter shows complete outage. Impact: transactions are blocked for all customers. Additional note: executive bridge activated. Reported by the payments team during the night shift and observed for 5 minutes.,critical,payment gateway,primary datacenter
